item_uid,measure,price,bin,trend_price,residual,log_residual,price_diff
11756267271,38.0,10000001,0,,,,
14008587512,38.01,3600000,0,,,,
13991530325,38.03,3600000,0,,,,
13280165193,38.03,3613818,0,,,,
14016027451,38.05,3600000,0,,,,
11106509847,38.06,4649990,0,,,,
13991530319,38.08,3600000,0,,,,
13991530324,38.08,3600000,0,,,,
13999982299,38.08,3600000,0,,,,
13926851052,38.08,4649990,0,,,,
12293431214,38.08,4649990,0,,,,
14035444160,38.09,3600000,0,,,,
14035444152,38.09,3600000,0,,,,
13999982298,38.1,3600000,0,,,,
14008587506,38.12,3600000,0,,,,
14035444162,38.12,3600000,0,,,,
13483402385,38.13,4649990,0,,,,
9444357322,38.15,4649990,0,,,,
13926851053,38.16,4649990,0,,,,
8140817550,38.17,3600000,0,,,,
13991530330,38.18,3600000,0,,,,
10677620138,38.18,4649990,0,,,,
5591682675,38.19,3599999,0,,,,
14058149530,38.2,3599990,0,,,,
13245717281,38.22,4649990,0,,,,
14058149529,38.23,3599990,0,,,,
12588779048,38.25,3600000,0,,,,
14016027455,38.25,3600000,0,,,,
14016027448,38.27,3600000,0,,,,
13745756288,38.3,3600000,1,,,,
14008587505,38.31,3600000,1,,,,
8152465548,38.31,4649990,1,,,,
13999982297,38.35,3600000,1,,,,
13999982300,38.37,3600000,1,,,,
14016027453,38.37,3600000,1,,,,
14008587498,38.38,3600000,1,,,,
14035889806,38.38,3600000,1,,,,
12340679173,38.44,3500000,1,,,,
14035444150,38.47,3600000,1,,,,
13991530321,38.5,3600000,1,,,,
13991530328,38.52,3600000,1,,,,
13999982292,38.54,3600000,1,,,,
14008587503,38.54,3600000,1,,,,
13991530327,38.55,3600000,1,,,,
14016027446,38.6,3600000,2,,,,
14016027447,38.6,3600000,2,,,,
10015489482,38.64,4649990,2,,,,
14035444154,38.66,3600000,2,,,,
14008587504,38.67,3600000,2,,,,
13946745252,38.67,3650000,2,,,,
14016027454,38.68,3600000,2,,,,
